URL,PageRank_Score,Name,Stars,Language_Grouped,Rank_PR,Rank_Stars,Rank_Difference
https://github.com/fyne-io/fyne,0.0014675515244313689,fyne,21368,Go,61.0,625.0,564.0
https://github.com/JaidedAI/EasyOCR,0.001456208694853151,EasyOCR,19517,Python,62.0,723.0,661.0
https://github.com/Lightning-AI/lightning,0.001442192178988354,lightning,24656,Python,63.0,453.0,390.0
https://github.com/NodeBB/NodeBB,0.0014315864908514297,NodeBB,13563,JavaScript,64.0,1236.0,1172.0
https://github.com/flutter/flutter,0.0014302999337203358,flutter,156818,Other,65.0,13.0,-52.0
https://github.com/recharts/recharts,0.0014293232529378073,recharts,21074,TypeScript,66.0,637.0,571.0
https://github.com/huggingface/datasets,0.001428577799364342,datasets,17150,Python,67.0,886.0,819.0
https://github.com/evanw/esbuild,0.0014271042170084253,esbuild,36076,Go,68.0,250.0,182.0
https://github.com/unifyai/ivy,0.0014134125294034653,ivy,13346,Python,69.0,1278.0,1209.0
https://github.com/meteor/meteor,0.0014095093138802176,meteor,43748,JavaScript,70.0,166.0,96.0
https://github.com/slimtoolkit/slim,0.001405527753961215,slim,17257,Go,71.0,882.0,811.0
https://github.com/lutzroeder/netron,0.0014033238610874276,netron,24022,JavaScript,72.0,474.0,402.0
https://github.com/nodejs/node,0.001392099978159333,node,97883,JavaScript,73.0,31.0,-42.0
https://github.com/d2l-ai/d2l-vi,0.0013912782567516806,d2l-vi,536,Python,74.0,1831.0,1757.0
https://github.com/vercel/hyper,0.0013865618743618274,hyper,41509,TypeScript,75.0,193.0,118.0
https://github.com/curiousily/Getting-Things-Done-with-Pytorch,0.0013851192974014017,Getting-Things-Done-with-Pytorch,2066,Python,76.0,1494.0,1418.0
https://github.com/chakra-core/ChakraCore,0.0013837407334188574,ChakraCore,8956,JavaScript,77.0,1371.0,1294.0
https://github.com/caddyserver/caddy,0.0013764239718401852,caddy,49799,Go,78.0,128.0,50.0
https://github.com/goldbergyoni/javascript-testing-best-practices,0.0013694510023127058,javascript-testing-best-practices,22187,JavaScript,79.0,575.0,496.0
https://github.com/open-source-labs/Recoilize,0.0013686407743286025,Recoilize,586,TypeScript,80.0,1798.5,1718.5
https://github.com/kivy/kivy,0.0013659881158388718,kivy,16267,Python,81.0,957.0,876.0
https://github.com/feathersjs/feathers,0.001359784706668137,feathers,14758,TypeScript,82.0,1105.0,1023.0
https://github.com/GokuMohandas/Made-With-ML,0.0013566388751800739,Made-With-ML,34172,Python,83.0,277.0,194.0
https://github.com/ospfranco/link-preview-js,0.0013527644419460614,link-preview-js,648,TypeScript,84.0,1766.0,1682.0
https://github.com/vuetifyjs/vuetify,0.001347688240685779,vuetify,37958,TypeScript,85.0,231.0,146.0
https://github.com/SBoudrias/Inquirer.js,0.0013457177835146364,Inquirer.js,18564,JavaScript,86.0,788.0,702.0
https://github.com/traefik/traefik,0.0013402362483817321,traefik,44672,Go,87.0,157.0,70.0
https://github.com/recommenders-team/recommenders,0.001335733807163234,recommenders,16344,Python,88.0,947.0,859.0
https://github.com/Kumar-laxmi/Algorithms,0.0013256315070501094,Algorithms,299,Java,89.0,2104.0,2015.0
https://github.com/CharlesStover/use-clippy,0.0013192779260249954,use-clippy,177,TypeScript,90.0,2440.5,2350.5
https://github.com/tiangolo/fastapi,0.0013087302082311866,fastapi,62759,Python,91.0,79.0,-12.0
https://github.com/basir/node-react-ecommerce,0.001299830609492956,node-react-ecommerce,1556,JavaScript,92.0,1542.0,1450.0
https://github.com/nylas/nylas-mail,0.0012983622249067757,nylas-mail,24760,JavaScript,93.0,447.0,354.0
https://github.com/raysan5/raylib,0.0012945205849522459,raylib,15276,C,94.0,1055.0,961.0
https://github.com/DioxusLabs/dioxus,0.0012894155608466115,dioxus,13969,Rust,95.0,1189.0,1094.0
https://github.com/withfig/autocomplete,0.0012742750313374826,autocomplete,23023,TypeScript,96.0,527.0,431.0
https://github.com/jina-ai/jina,0.0012693982060541344,jina,19095,Python,97.0,743.0,646.0
https://github.com/onnx/onnx,0.0012642205698735797,onnx,15545,Python,98.0,1030.0,932.0
https://github.com/react-native-elements/react-native-elements,0.0012497313692237924,react-native-elements,24001,Other,99.0,475.0,376.0
https://github.com/Bin-Huang/chatbox,0.001249411826101954,chatbox,14690,TypeScript,100.0,1110.0,1010.0
https://github.com/Tencent/ncnn,0.0012490059651141248,ncnn,17945,C++,101.0,829.0,728.0
https://github.com/makeplane/plane,0.0012469883781984182,plane,15754,TypeScript,102.0,1008.0,906.0
https://github.com/jhipster/generator-jhipster,0.0012402228676779007,generator-jhipster,20845,TypeScript,103.0,650.0,547.0
https://github.com/PostHog/posthog,0.0012302613001500913,posthog,13367,TypeScript,104.0,1272.0,1168.0
https://github.com/responsively-org/responsively-app,0.001217363633882262,responsively-app,20712,JavaScript,105.0,658.0,553.0
https://github.com/hoppscotch/hoppscotch,0.00121539448158615,hoppscotch,54608,TypeScript,106.0,109.0,3.0
https://github.com/liyupi/sql-generator,0.0012086548919431092,sql-generator,3309,Other,107.0,1439.0,1332.0
https://github.com/lencx/ChatGPT,0.0012071199928713214,ChatGPT,41246,Rust,108.0,196.0,88.0
https://github.com/Solido/awesome-flutter,0.001205181736940116,awesome-flutter,48506,Other,109.0,133.0,24.0
https://github.com/tiangolo/full-stack-fastapi-postgresql,0.001199934487983814,full-stack-fastapi-postgresql,12982,Python,110.0,1349.0,1239.0
https://github.com/nzambello/react-csv-reader,0.0011989713253356296,react-csv-reader,196,TypeScript,111.0,2376.0,2265.0
https://github.com/sst/sst,0.0011971169440566944,sst,17680,TypeScript,112.0,846.5,734.5
https://github.com/ptyadana/Data-Science-and-Machine-Learning-Projects-Dojo,0.0011924554340141482,Data-Science-and-Machine-Learning-Projects-Dojo,173,Python,113.0,2457.0,2344.0
https://github.com/mindsdb/mindsdb,0.001192407657325448,mindsdb,17895,Python,114.0,831.5,717.5
https://github.com/grab/front-end-guide,0.0011920131914397295,front-end-guide,14987,JavaScript,115.0,1080.0,965.0
https://github.com/keepassxreboot/keepassxc,0.0011873420933435378,keepassxc,17014,C++,116.0,898.5,782.5
https://github.com/marktext/marktext,0.00118646432427941,marktext,41456,JavaScript,117.0,194.0,77.0
https://github.com/tensorflow/tfjs,0.0011856064472993534,tfjs,17680,TypeScript,118.0,846.5,728.5
https://github.com/go-kratos/kratos,0.0011814149480172814,kratos,21372,Go,119.0,623.5,504.5
https://github.com/j3ssie/osmedeus,0.0011721856429387422,osmedeus,4683,Go,120.0,1401.0,1281.0
https://github.com/xemulat/XToolbox,0.0011716462230150426,XToolbox,522,Python,121.0,1852.0,1731.0
https://github.com/flipped-aurora/gin-vue-admin,0.0011700353312559468,gin-vue-admin,18325,Go,122.0,801.0,679.0
https://github.com/webview/webview,0.0011643532689745747,webview,11491,C,123.0,1362.0,1239.0
https://github.com/goldbergyoni/nodebestpractices,0.001162885933260548,nodebestpractices,93002,Other,124.0,36.0,-88.0
https://github.com/ageron/handson-ml,0.001160370640791183,handson-ml,25038,Python,125.0,434.0,309.0
