URL,Hub_Score,Name,Stars,Language_Grouped
https://github.com/LeCoupa/awesome-cheatsheets,0.0031586071903689315,awesome-cheatsheets,34609,JavaScript
https://github.com/axios/axios,0.0031503878949352714,axios,101732,JavaScript
https://github.com/Unleash/unleash-client-node,0.003147956246326152,unleash-client-node,198,TypeScript
https://github.com/angular/angular,0.0031335784054919527,angular,90337,TypeScript
https://github.com/nylas/nylas-mail,0.0031334009053876066,nylas-mail,24760,JavaScript
https://github.com/Schniz/fnm,0.0031249790204976847,fnm,13422,Rust
https://github.com/goldbergyoni/nodebestpractices,0.0031224995248801805,nodebestpractices,93002,Other
https://github.com/stdlib-js/stdlib,0.0030694910953807317,stdlib,3478,JavaScript
https://github.com/54sword/xiaoduyu.com,0.003005430824139719,xiaoduyu.com,604,TypeScript
https://github.com/aws-amplify/amplify-js,0.0030052485673289094,amplify-js,9270,TypeScript
https://github.com/lensterxyz/lenster,0.0029829253752817644,lenster,21198,TypeScript
https://github.com/hadmean/hadmean,0.0029809529696288037,hadmean,502,TypeScript
https://github.com/avajs/ava,0.0029373080770371558,ava,20493,JavaScript
https://github.com/sudheerj/javascript-interview-questions,0.0029100338401185735,javascript-interview-questions,17881,JavaScript
https://github.com/laurent22/joplin,0.0028960895392925144,joplin,38658,TypeScript
https://github.com/salomonelli/best-resume-ever,0.0028735988536569093,best-resume-ever,16085,Other
https://github.com/formatjs/formatjs,0.0028500705434946934,formatjs,13859,TypeScript
https://github.com/yudai/gotty,0.002818033223568807,gotty,18039,Go
https://github.com/chimurai/http-proxy-middleware,0.002814588652951466,http-proxy-middleware,10161,TypeScript
https://github.com/google/flatbuffers,0.002811523421308991,flatbuffers,21107,C++
https://github.com/ianstormtaylor/slate,0.0028030430881729727,slate,27889,TypeScript
https://github.com/mochajs/mocha,0.0027965059113673365,mocha,22199,JavaScript
https://github.com/ui-router/angular,0.002787931518586472,angular,336,TypeScript
https://github.com/Mastermindzh/react-cookie-consent,0.0027797744188785395,react-cookie-consent,544,TypeScript
https://github.com/facebook/react,0.002777076023337589,react,213299,JavaScript
https://github.com/appwrite/appwrite,0.0027769964440040396,appwrite,33186,TypeScript
https://github.com/maitraysuthar/rest-api-nodejs-mongodb,0.0027462250042733518,rest-api-nodejs-mongodb,1099,JavaScript
https://github.com/dynastic/place,0.002744207102675225,place,303,JavaScript
https://github.com/typicode/lowdb,0.0027131933789229434,lowdb,20026,JavaScript
https://github.com/codex-team/editor.js,0.002684967856711848,editor.js,24337,TypeScript
https://github.com/pnpm/pnpm,0.0026771700391771064,pnpm,25447,TypeScript
https://github.com/sindresorhus/gulp-markdown,0.002670052511445287,gulp-markdown,181,JavaScript
